Menu,Meth,Ingre,Step,ImURL,,,,,,,,,,,,,,,,,,,,
ออส่วนกระทะร้อน,ผัด,"แป้งมันสำปะหลัง,แป้งข้าวเจ้า,หอยนางรมลวกสุก,ไข่เป็ด,พริกไทย,ถั่วงอกลวก,ต้นหอมซอย,ผักชี,พริกชี้ฟ้าซอย,น้ำจิ้มสุกี้",ผสม แป้งมันสำปะหลังต้นสน ไข่เป็ด น้ำเย็น น้ำปลา และพริกไทย คนจนแป้งละลายจากนั้นกรองด้วยกระชอนตาถี่ให้เนื้อแป้งเนียน|ตั้งกระทะใส่น้ำมันให้ร้อน กลอกแป้งให้เต็มกระทะ ทอดให้เหลืองกรอบ ตักขึ้นพักไว้|ผสม แป้งมันสำปะหลังต้นสน แป้งข้าวเจ้า น้ำเย็น น้ำปลา พริกไทย คนจนแป้งละลายเนียน จากนั้นใส่หอยนางรมลงไป พักไว้|ตั้งกระทะใส่น้ำมัน ใส่ไข่ลงไปยี พอไข่เริ่มสุกเทส่วนผสมแป้งและหอยนางรมลงไป ใช้ไฟกลางถึงแรง คนเบา ๆ จนแป้งสุกดี ปิดไฟยกลง|ตั้งกระทะสำหรับเสิร์ฟให้ร้อน วางแผ่นแป้งที่ทอดไว้ ออส่วน พร้อมกับถั่วงอกลวก เสิร์ฟคู่กับน้ำจิ้มสุกี้ต้นสน ,https://img.wongnai.com/p/1920x0/2025/08/14/b531cb90cb1f4fc9a41bf4d3b6549245.jpg,,,,,,,,,,,,,,,,,,,,
ไวไวผัดฉ่าหอยแมงภู่,ผัด,"บะหมี่กึ่งสำเร็จรูป,พริกขี้หนูกระเทียม,ข้าวโพดอ่อน,กระชาย,ใบมะกรูด,พริกชี้ฟ้า,กะเพรา",ตั้งน้ำไฟแรง เมื่อน้ำเดือด นำเส้นไวไวลงไปต้ม ต้มพอสุก ตักขึ้นพักไว้|นำพริก กระเทียมหั่นละเอียด ผัดในน้ำมันพืช ในกลาง ผัดจนหอม|ตามด้วยหอยแมงภู่ กระชาย พริกชี้ฟ้า ข้าวโพดอ่อน ใบมะกรูด ผัดจนข้าวโพดสุก|ตามด้วยเส้นไวไวที่ต้มไว้ ปรุงรสด้วย น้ำตาลทราย ซอสหอยนางรม ผงปรุงรส ชิมรสตามชอบ|ตามด้วยใบกะเพรา ปิดไฟ คลุกเคล้าให้เข้ากัน|พร้อมทาน,https://img.wongnai.com/p/1968x0/2026/02/04/0b1c46870be841fd91e8ee8dc94edad4.jpg,,,,,,,,,,,,,,,,,,,,
"ข้าวแกงเขียวหวานกุ้งทอด,",แกง,"กุ้งสด,พริกไทย,แป้งสำหรับทอด,เกล็ดขนมปัง,พริกแกงเขียวหวาน,น้ำตาลปี๊บ,กะทิ,มะเขือเปราะ,โหระพา,พริกชี้ฟ้า,ข้าวสวย",ปรุงรสกุ้งด้วย เกลือ พริกไทย|นำกุ้งที่ปรุงรส คลุกเคล้าแป้งชุบทอดผสมน้ำเย็นจัด|จากนั้นนำไปคลุกเกล็ดขนมปัง|ตั้งกระทะไฟกลาง ตามด้วยน้ำมันพืช รอจนน้ำมันร้อนจัด นำกุ้งไปทอด|ทอดจนเหลืองสุกทั้งด้าน ตักขึ้นพักไว้|ตั้งกระทะไฟกลาง นำพริกแกงเขียวหวานผัดกับหัวกะทิ|ตามด้วยหางกะทิ และน้ำเปล่า ปรุงรสด้วยน้ำตาลปี๊บ และผงปรุงรส รอเดือด ชิมรสตามชอบ|เมื่อเดือด เติมมะเขือเปราะ มะเขือสุก ปิดไฟ ใส่ใบโหระพาและพริกชี้ฟ้า|ประกอบร่าง พร้อมทาน,https://img.wongnai.com/p/400x0/2026/02/01/944d7b365c864ae19f8e1fcd5d5fd196.jpg,,,,,,,,,,,,,,,,,,,,
สปาเก็ตตี้เบคอนผัดพริกแห้ง,ผัด,"เส้นสปาเก็ตตี้,เบคอน,น้ำมันมะกอก,พริกแห้ง,กระเทียม,พริกไทย,ออริกาโน่,โหระพา",ตั้งกระทะไฟกลาง ใส่น้ำมันมะกอก ตามด้วยเบคอน ผัดจนเบคอนเริ่มสุก|ตามด้วยพริกแห้ง กระเทียม|ตามด้วยเส้น ปรุงรสด้วย เกลือ พริกไทย ออริกาโน่ ชิมรสตามชอบ โรยใบโหระพา ปิดไฟ|พร้อมทาน,https://img.wongnai.com/p/1968x0/2026/01/28/27fe9f564d304e07af05c4d513200eab.jpg,,,,,,,,,,,,,,,,,,,,
เส้นแก้วผัดสุกี้แห้ง,ผัด,"น้ำจิ้มสุกี้,เส้นแก้ว,กระเทียม,พริกไทย,หมูชิ้น,กุ้ง,ผักบุ้ง,แคร์รอต,ผักกาดขาว,ไข่ไก่,ต้นหอม,ขึ้นฉ่าย",หมักกุ้งและเนื้อหมู กับน้ำมันหอย พริกไทย ไข่ไก่ 1 ฟอง และ เอโร่ น้ำจิ้มสุกี้สูตรกวางตุ้ง เป็นเวลาประมาณ 30 นาที|ตั้งกระทะใส่น้ำมัน ผัดกระเทียมพอหอม แล้วตามด้วยเนื้อหมูและกุ้งที่หมักไว้|เมื่อเนื้อสัตว์สุกแล้ว ใส่ผักกาดขาว แคร์รอต และผักบุ้ง ผัดให้ผักพอสลด|จากนั้นใส่เส้นแก้วลงไป เติมน้ำซุปเล็กน้อย ปรุงรสด้วย เอโร่ น้ำจิ้มสุกี้สูตรกวางตุ้ง แล้วผัดให้เข้ากัน|ตอกไข่ไก่ที่เหลือลงไป ผัดให้สุกอีกครั้ง จากนั้นจัดใส่จาน เสิร์ฟพร้อม เอโร่ น้ำจิ้มสุกี้สูตรกวางตุ้ง เท่านี้ก็เป็นที่เรียบร้อย,https://img.wongnai.com/p/1920x0/2024/06/10/ecdd3ee74eab4dc1b527266d38b023cd.jpg,,,,,,,,,,,,,,,,,,,,
เส้นเล็กผัดกะเพรา,ผัด,"เส้นเล็ก,หมูสับ,ใบกะเพรา,พริกจินดาแดง,กระเทียม,น้ำเปล่า",นำเส้นเล็กไปแช่น้ำให้นิ่มหรือลวกผ่านน้ำร้อนเตรียมไว้|โขลกพริกและกระเทียมให้พอหยาบ|ตั้งกระทะใส่น้ำมัน นำพริกและกระเทียมที่โขลกไว้ลงผัดจนหอม|ใส่เนื้อหมูลงไปผัดจนสุก|ใส่เส้นเล็กลงไปผัด เติมน้ำเปล่าเล็กน้อยเพื่อให้เส้นนุ่มและไม่ติดกัน|ปรุงรสด้วยซอสหอยนางรม ซีอิ๊วขาว ซีอิ๊วดำเล็กน้อยเพื่อสีสัน และน้ำตาลทราย|ผัดให้เส้นและเครื่องปรุงเข้ากันดี ใส่ใบกะเพราลงไปคลุกเคล้าแล้วปิดเตา,https://img.wongnai.com/p/1920x0/2024/06/10/df2c47bac3544a81a1e7437e59a46e8c.jpg,,,,,,,,,,,,,,,,,,,,
ราดหน้า,ผัด,"เส้นใหญ่,เนื้อหมู,คะน้า,กระเทียม,แป้งมันหรือแป้งข้าวโพด,น้ำซุปหรือน้ำเปล่า",หมักเนื้อหมูกับซีอิ๊วขาวและน้ำตาลทรายทิ้งไว้ให้นุ่มเตรียมไว้|ตั้งกระทะใส่น้ำมัน นำเส้นใหญ่ลงไปผัดกับซีอิ๊วดำจนหอมกลิ่นกระทะ ตักขึ้นพักไว้ในจาน|ใส่น้ำมันลงในกระทะ นำกระเทียมสับลงผัดให้หอม ตามด้วยเนื้อหมูหมักลงไปผัดพอสุก|เติมน้ำซุปหรือน้ำเปล่าลงไป ต้มจนน้ำเดือด|ใส่ผักคะน้าลงไปต้มจนสุก ปรุงรสด้วยเต้าเจี้ยว ซอสหอยนางรม น้ำปลา และน้ำตาลทราย|ละลายแป้งมันกับน้ำเปล่า ค่อยๆ เทลงในกระทะพร้อมกับคนอย่างต่อเนื่องจนน้ำราดหน้าเหนียวข้นตามต้องการ ปิดเตา|ตักน้ำราดหน้าราดบนเส้นใหญ่ที่พักไว้,https://img.wongnai.com/p/1920x0/2022/04/28/2b1d293c616b4038a1ca98acc5e04392.jpg,,,,,,,,,,,,,,,,,,,,
ข้าวมันไก่ต้ม,ต้ม,"ข้าวสารหุง,อกไก่,ขิงแก่,กระเทียม,รากผักชี,ฟักเขียว,แตงกวา,ผักชี",ต้มไก่ในน้ำเดือดพร้อมรากผักชีและกระเทียมทุบจนไก่สุก ตักไก่ขึ้นพักไว้และกรองเก็บน้ำซุปไก่ไว้|เจียวกระเทียมสับและขิงฝานบางๆ ในกระทะจนหอม นำข้าวสารหอมมะลิลงไปผัดให้พอเมล็ดตึง|นำข้าวที่ผัดไว้ไปหุงในหม้อหุงข้าวโดยใช้น้ำซุปไก่ที่ต้มไว้ ปรุงรสข้าวด้วยเกลือเล็กน้อย หุงจนข้าวสุก|นำน้ำซุปไก่ที่เหลือมาต้มกับฟักเขียว ปรุงรสด้วยซีอิ๊วขาวและเกลือเพื่อทำเป็นน้ำซุปใสสำหรับซด|สับไก่ต้มเป็นชิ้นพอดีคำ วางบนข้าวมัน ตกแต่งด้วยแตงกวาและผักชี เสิร์ฟพร้อมน้ำซุป,https://img.wongnai.com/p/400x0/2023/09/08/d346a341faea4adca6ebdd79f7ed8003.jpg,,,,,,,,,,,,,,,,,,,,
ข้าวมันไก่ทอด,ทอด,"ข้าวสารหุง,อกไก่,แป้งทอดกรอบ,เกล็ดขนมปัง,ไข่ไก่,ขิงแก่,กระเทียม,รากผักชี,แตงกวา,ผักชี",ล้างข้าวสารให้สะอาดแล้วพักให้สะเด็ดน้ำ|เจียวกระเทียมกับมันไก่ในกระทะจนหอมแล้วใส่ข้าวสารลงไปผัดจนเม็ดข้าวเคลือบน้ำมันเงาสวย|เทข้าวที่ผัดไว้ลงในหม้อหุงข้าว ใส่ขิงแก่ รากผักชี และน้ำซุปไก่ลงไปหุงจนสุก|หมักเนื้อไก่ด้วยเกลือและพริกไทยขาวทิ้งไว้ประมาณ 15 นาที|นำเนื้อไก่มาคลุกแป้งทอดกรอบให้ทั่ว|ตั้งกระทะใส่น้ำมันให้ร้อนจัดแล้วนำไก่ลงทอดจนหนังกรอบเหลืองทองและเนื้อสุก|นำไก่ทอดมาหั่นเป็นชิ้นยาวพอดีคำ|ตักข้าวมันใส่จานวางไก่ทอดไว้ด้านบน|เสิร์ฟพร้อมน้ำจิ้มไก่ แตงกวาสด และผักชี,https://img.wongnai.com/p/400x0/2019/09/18/511e54a73f9a457390793744b2dce436.jpg,,,,,,,,,,,,,,,,,,,,
ก๋วยเตี๋ยวผัดผงกะหรี่,ผัด,"เส้นใหญ่,กุ้ง,กระเทียม,หอมหัวใหญ่,ต้นหอม,พริกระฆัง,ผงกะหรี่,น้ำพริกเผา,นมข้นจืด,ไข่ไก่
",แกะเส้นใหญ่แบบผัดนะคะ แล้วใส่ผงกะหรี่ลงไป 1/3 ช้อนชา เขย่าเส้นให้ผงกะหรี่กระจายทั่วๆ|ผสมนมข้นจืด ไข่ไก่ ผงกะหรี่ |ตั้งกระทะใส่น้ำมัน ทอดกุ้งให้สุก นำกุ้งออก|ผัดกระเทียม กับ หอมใหญ่สับให้ใส|เติมนมปรุง|พอไข่เริ่มเซทตัว 50% เติมเส้น|ตามด้วยพริกระฆัง 3 สี ผัดจนไข่สุกค่ะ เอาให้แห้งๆ หอมกระทะ|เติมต้นหอมซอย และ กุ้งที่ทอดไว้เป็นเสร็จ|เสร็จพร้อมเสริฟ ,https://img.wongnai.com/p/400x0/2026/01/02/a534ac1f0d4b4e0b968865b984537d3b.jpg,,,,,,,,,,,,,,,,,,,,
