Ingredient,Protein,Fat,Carb,Fiber ,Calories,,,,,,,,,
อกไก่,23,2.5,0,0,120,,,,,,,,,
น่องไก่,18,10,0,0,170,,,,,,,,,
หมูชิ้น,20,4.5,0,0,145,,,,,,,,,
หมูสับ,15,25,0,0,290,,,,,,,,,
หมูสามชั้น,9,53,0,0,518,,,,,,,,,
เบคอน,12,42,1.4,0,540,,,,,,,,,
หอยแมงภู่,12,2,3.7,0,86,,,,,,,,,
ไข่ไก่,12.6,10.6,1.1,0,155,,,,,,,,,
ไข่เป็ด,12.8,13.8,1.5,0,185,,,,,,,,,
ปลาทูน่า,25,0.8,0,0,116,,,,,,,,,
ปลากะพง,18,2,0,0,97,,,,,,,,,
เส้นแก้ว,0,0,1,4,20,,,,,,,,,
วุ้นเส้น,0.2,0,20,0.5,80,,,,,,,,,
เส้นเล็ก,1.8,0.3,25,0.5,108,,,,,,,,,
เส้นสปาเก็ตตี้,5.8,0.9,30,1.8,158,,,,,,,,,
บะหมี่กึ่งสำเร็จรูป,8,20,60,2,450,,,,,,,,,
ข้าวสวย,2.7,0.3,28,0.4,130,,,,,,,,,
ขนมจีน,1.5,0.2,25,0.5,110,,,,,,,,,
ผักกาดขาว,1.2,0.2,2.2,1,13,,,,,,,,,
ผักบุ้ง,2,0.2,3.1,2.1,19,,,,,,,,,
แคร์รอต / แครอท,0.9,0.2,9.6,2.8,41,,,,,,,,,
คะน้า,2.7,0.5,3.8,1.6,31,,,,,,,,,
กวางตุ้ง,1.5,0.2,2,1,13,,,,,,,,,
กะหล่ำปลี,1.3,0.1,5.8,2.5,25,,,,,,,,,
ถั่วงอกลวก,3,0.2,6,1.1,30,,,,,,,,,
ข้าวโพดอ่อน,2.3,0.2,6,2,33,,,,,,,,,
มะเขือเปราะ,1,0.2,5.9,3,25,,,,,,,,,
กะเพรา / โหระพา,3.1,0.8,4,1.5,25,,,,,,,,,
กระชาย,1.8,0.8,17.8,2,80,,,,,,,,,
กะทิ,2,24,6,0,230,,,,,,,,,
กุ้งสด,20,1,0,0,92,,,,,,,,,
ปลาหมึก,16,1,3,0,92,,,,,,,,,
เนื้อวัว,26,15,0,0,250,,,,,,,,,
หมูกรอบ,14,45,0,0,460,,,,,,,,,
หมูยอ,12,18,8,0,240,,,,,,,,,
กุนเชียง,14,40,15,0,480,,,,,,,,,
ปลาทู,20,6,0,0,134,,,,,,,,,
ปลาดุก,16,3,0,0,105,,,,,,,,,
แซลมอน,20,13,0,0,208,,,,,,,,,
หอยนางรม,9,2,4,0,68,,,,,,,,,
เต้าหู้ไข่,6,4,3,0,72,,,,,,,,,
เส้นใหญ่,2,2,30,1,146,,,,,,,,,
เส้นหมี่,2,0,24,1,109,,,,,,,,,
ข้าวเหนียว,2,0.2,21,1,97,,,,,,,,,
มันฝรั่ง,2,0,20,2,87,,,,,,,,,
ถั่วฝักยาว,2.8,0.4,8,3.2,47,,,,,,,,,
มะเขือเทศ,0.9,0.2,3.9,1.2,18,,,,,,,,,
แตงกวา,0.6,0.1,3.6,0.5,15,,,,,,,,,
บล็อกโคลี่,2.8,0.4,7,2.6,34,,,,,,,,,
ฟักทอง,1,0.1,6,0.5,26,,,,,,,,,
เห็ดหอม,3,0.3,7,2.5,34,,,,,,,,,
